日志创建
2021-06-21 余额4028904，失去银子：138038,来源代号技能学习，储备余额3890866
2021-06-21 余额3890866，失去银子：145446,来源代号技能学习，储备余额3745420
2021-06-21 余额3745420，失去银子：46742,来源代号技能学习，储备余额3698678
2021-06-21 余额3698678，失去银子：50062,来源代号技能学习，储备余额3648616
2021-06-21 余额3648616，失去银子：53554,来源代号技能学习，储备余额3595062
2021-06-21 余额3595062，失去银子：57226,来源代号技能学习，储备余额3537836
2021-06-21 余额3537836，失去银子：61082,来源代号技能学习，储备余额3476754
2021-06-21 余额3476754，失去银子：65130,来源代号技能学习，储备余额3411624
2021-06-21 余额3411624，失去银子：69374,来源代号技能学习，储备余额3342250
2021-06-21 余额3342250，失去银子：73822,来源代号技能学习，储备余额3268428
2021-06-21 余额3268428，失去银子：78480,来源代号技能学习，储备余额3189948
2021-06-21 余额3189948，失去银子：83352,来源代号技能学习，储备余额3106596
2021-06-21 余额3106596，失去银子：88448,来源代号技能学习，储备余额3018148
2021-06-21 余额3018148，失去银子：93772,来源代号技能学习，储备余额2924376
2021-06-21 余额2924376，失去银子：99332,来源代号技能学习，储备余额2825044
2021-06-21 余额2825044，失去银子：105136,来源代号技能学习，储备余额2719908
2021-06-21 余额2719908，失去银子：111190,来源代号技能学习，储备余额2608718
2021-06-21 余额2608718，失去银子：117498,来源代号技能学习，储备余额2491220
2021-06-21 余额2491220，失去银子：124072,来源代号技能学习，储备余额2367148
2021-06-21 余额2367148，失去银子：46742,来源代号技能学习，储备余额2320406
2021-06-21 余额2320406，失去银子：50062,来源代号技能学习，储备余额2270344
2021-06-21 获得经验：15000000,来源代号新手礼包
2021-06-21 余额2270344，获得储备：2500000,来源代号新手礼包，储备余额4770344
2021-06-21 余额4770344，失去银子：53554,来源代号技能学习，储备余额4716790
2021-06-21 余额4716790，失去银子：57226,来源代号技能学习，储备余额4659564
2021-06-21 余额4659564，失去银子：61082,来源代号技能学习，储备余额4598482
2021-06-21 余额4598482，失去银子：65130,来源代号技能学习，储备余额4533352
2021-06-21 余额4533352，失去银子：69374,来源代号技能学习，储备余额4463978
2021-06-21 余额4463978，失去银子：73822,来源代号技能学习，储备余额4390156
2021-06-21 余额4390156，失去银子：78480,来源代号技能学习，储备余额4311676
2021-06-21 余额4311676，失去银子：83352,来源代号技能学习，储备余额4228324
2021-06-21 余额4228324，失去银子：88448,来源代号技能学习，储备余额4139876
2021-06-21 余额4139876，失去银子：93772,来源代号技能学习，储备余额4046104
2021-06-21 余额4046104，失去银子：161150,来源代号技能学习，储备余额3884954
2021-06-21 余额3884954，失去银子：169460,来源代号技能学习，储备余额3715494
2021-06-21 余额3715494，失去银子：178086,来源代号技能学习，储备余额3537408
2021-06-21 余额3537408，失去银子：187032,来源代号技能学习，储备余额3350376
2021-06-21 余额3350376，失去银子：196320,来源代号技能学习，储备余额3154056
2021-06-21 余额3154056，失去银子：205942,来源代号技能学习，储备余额2948114
2021-06-21 余额2948114，失去银子：215912,来源代号技能学习，储备余额2732202
