日志创建2021-06-21 余额100000，获得银子：600000000,来源代号给予，银子余额600100000
2021-06-21 余额57699720，失去银子：3736,来源代号技能学习，储备余额57695984
2021-06-21 余额57695984，失去银子：4248,来源代号技能学习，储备余额57691736
2021-06-21 余额57691736，失去银子：4808,来源代号技能学习，储备余额57686928
2021-06-21 余额57686928，失去银子：5428,来源代号技能学习，储备余额57681500
2021-06-21 余额57681500，失去银子：6100,来源代号技能学习，储备余额57675400
2021-06-21 余额57675400，失去银子：6840,来源代号技能学习，储备余额57668560
2021-06-21 余额57668560，失去银子：7640,来源代号技能学习，储备余额57660920
2021-06-21 余额57660920，失去银子：8510,来源代号技能学习，储备余额57652410
2021-06-21 余额57652410，失去银子：9450,来源代号技能学习，储备余额57642960
2021-06-21 余额57642960，失去银子：10468,来源代号技能学习，储备余额57632492
2021-06-21 余额57632492，失去银子：11566,来源代号技能学习，储备余额57620926
2021-06-21 余额57620926，失去银子：12748,来源代号技能学习，储备余额57608178
2021-06-21 余额57608178，失去银子：14018,来源代号技能学习，储备余额57594160
2021-06-21 余额57594160，失去银子：15360,来源代号技能学习，储备余额57578800
2021-06-21 余额57578800，失去银子：16838,来源代号技能学习，储备余额57561962
2021-06-21 余额57561962，失去银子：18398,来源代号技能学习，储备余额57543564
2021-06-21 余额57543564，失去银子：20064,来源代号技能学习，储备余额57523500
2021-06-21 余额57523500，失去银子：21840,来源代号技能学习，储备余额57501660
2021-06-21 余额57501660，失去银子：23730,来源代号技能学习，储备余额57477930
2021-06-21 余额57477930，失去银子：25742,来源代号技能学习，储备余额57452188
2021-06-21 余额57452188，失去银子：27876,来源代号技能学习，储备余额57424312
2021-06-21 余额57424312，失去银子：30140,来源代号技能学习，储备余额57394172
2021-06-21 余额57394172，失去银子：32540,来源代号技能学习，储备余额57361632
2021-06-21 余额57361632，失去银子：35080,来源代号技能学习，储备余额57326552
2021-06-21 余额57326552，失去银子：37764,来源代号技能学习，储备余额57288788
2021-06-21 余额57288788，失去银子：40598,来源代号技能学习，储备余额57248190
2021-06-21 余额57248190，失去银子：43590,来源代号技能学习，储备余额57204600
2021-06-21 余额57204600，失去银子：46742,来源代号技能学习，储备余额57157858
2021-06-21 余额57157858，失去银子：50062,来源代号技能学习，储备余额57107796
2021-06-21 余额57107796，失去银子：53554,来源代号技能学习，储备余额57054242
2021-06-21 余额57054242，失去银子：57226,来源代号技能学习，储备余额56997016
2021-06-21 余额56997016，失去银子：61082,来源代号技能学习，储备余额56935934
2021-06-21 余额56935934，失去银子：65130,来源代号技能学习，储备余额56870804
2021-06-21 余额56870804，失去银子：69374,来源代号技能学习，储备余额56801430
2021-06-21 余额56801430，失去银子：73822,来源代号技能学习，储备余额56727608
2021-06-21 余额56727608，失去银子：78480,来源代号技能学习，储备余额56649128
2021-06-21 余额56649128，失去银子：83352,来源代号技能学习，储备余额56565776
2021-06-21 余额56565776，失去银子：88448,来源代号技能学习，储备余额56477328
2021-06-21 余额56477328，失去银子：93772,来源代号技能学习，储备余额56383556
2021-06-21 余额56383556，失去银子：99332,来源代号技能学习，储备余额56284224
2021-06-21 余额56284224，失去银子：105136,来源代号技能学习，储备余额56179088
2021-06-21 余额56179088，失去银子：111190,来源代号技能学习，储备余额56067898
2021-06-21 余额56067898，失去银子：117498,来源代号技能学习，储备余额55950400
2021-06-21 余额55950400，失去银子：124072,来源代号技能学习，储备余额55826328
2021-06-21 余额55826328，失去银子：130916,来源代号技能学习，储备余额55695412
2021-06-21 余额55695412，失去银子：138038,来源代号技能学习，储备余额55557374
2021-06-21 余额55557374，失去银子：145446,来源代号技能学习，储备余额55411928
2021-06-21 余额55411928，失去银子：153148,来源代号技能学习，储备余额55258780
2021-06-21 余额55258780，失去银子：161150,来源代号技能学习，储备余额55097630
2021-06-21 余额55097630，失去银子：169460,来源代号技能学习，储备余额54928170
2021-06-21 余额54928170，失去银子：178086,来源代号技能学习，储备余额54750084
2021-06-21 余额54750084，失去银子：187032,来源代号技能学习，储备余额54563052
2021-06-21 余额54563052，失去银子：196320,来源代号技能学习，储备余额54366732
2021-06-21 余额54366732，失去银子：205942,来源代号技能学习，储备余额54160790
2021-06-21 余额54160790，失去银子：215912,来源代号技能学习，储备余额53944878
2021-06-21 余额53944878，失去银子：24,来源代号技能学习，储备余额53944854
2021-06-21 余额53944854，失去银子：38,来源代号技能学习，储备余额53944816
2021-06-21 余额53944816，失去银子：56,来源代号技能学习，储备余额53944760
2021-06-21 余额53944760，失去银子：76,来源代号技能学习，储备余额53944684
2021-06-21 余额53944684，失去银子：102,来源代号技能学习，储备余额53944582
2021-06-21 余额53944582，失去银子：134,来源代号技能学习，储备余额53944448
2021-06-21 余额53944448，失去银子：172,来源代号技能学习，储备余额53944276
2021-06-21 余额53944276，失去银子：220,来源代号技能学习，储备余额53944056
2021-06-21 余额53944056，失去银子：278,来源代号技能学习，储备余额53943778
2021-06-21 余额53943778，失去银子：348,来源代号技能学习，储备余额53943430
2021-06-21 余额53943430，失去银子：432,来源代号技能学习，储备余额53942998
2021-06-21 余额53942998，失去银子：532,来源代号技能学习，储备余额53942466
2021-06-21 余额53942466，失去银子：650,来源代号技能学习，储备余额53941816
2021-06-21 余额53941816，失去银子：786,来源代号技能学习，储备余额53941030
2021-06-21 余额53941030，失去银子：944,来源代号技能学习，储备余额53940086
2021-06-21 余额53940086，失去银子：1126,来源代号技能学习，储备余额53938960
2021-06-21 余额53938960，失去银子：1334,来源代号技能学习，储备余额53937626
2021-06-21 余额53937626，失去银子：1572,来源代号技能学习，储备余额53936054
2021-06-21 余额53936054，失去银子：1838,来源代号技能学习，储备余额53934216
2021-06-21 余额53934216，失去银子：2140,来源代号技能学习，储备余额53932076
2021-06-21 余额53932076，失去银子：2476,来源代号技能学习，储备余额53929600
2021-06-21 余额53929600，失去银子：2852,来源代号技能学习，储备余额53926748
2021-06-21 余额53926748，失去银子：3272,来源代号技能学习，储备余额53923476
2021-06-21 余额53923476，失去银子：3736,来源代号技能学习，储备余额53919740
2021-06-21 余额53919740，失去银子：4248,来源代号技能学习，储备余额53915492
2021-06-21 余额53915492，失去银子：4808,来源代号技能学习，储备余额53910684
2021-06-21 余额53910684，失去银子：5428,来源代号技能学习，储备余额53905256
2021-06-21 余额53905256，失去银子：6100,来源代号技能学习，储备余额53899156
2021-06-21 余额53899156，失去银子：6840,来源代号技能学习，储备余额53892316
2021-06-21 余额53892316，失去银子：7640,来源代号技能学习，储备余额53884676
2021-06-21 余额53884676，失去银子：8510,来源代号技能学习，储备余额53876166
2021-06-21 余额53876166，失去银子：9450,来源代号技能学习，储备余额53866716
2021-06-21 余额53866716，失去银子：10468,来源代号技能学习，储备余额53856248
2021-06-21 余额53856248，失去银子：11566,来源代号技能学习，储备余额53844682
2021-06-21 余额53844682，失去银子：12748,来源代号技能学习，储备余额53831934
2021-06-21 余额53831934，失去银子：14018,来源代号技能学习，储备余额53817916
2021-06-21 余额53817916，失去银子：15360,来源代号技能学习，储备余额53802556
2021-06-21 余额53802556，失去银子：16838,来源代号技能学习，储备余额53785718
2021-06-21 余额53785718，失去银子：18398,来源代号技能学习，储备余额53767320
2021-06-21 余额53767320，失去银子：20064,来源代号技能学习，储备余额53747256
2021-06-21 余额53747256，失去银子：21840,来源代号技能学习，储备余额53725416
2021-06-21 余额53725416，失去银子：23730,来源代号技能学习，储备余额53701686
2021-06-21 余额53701686，失去银子：25742,来源代号技能学习，储备余额53675944
2021-06-21 余额53675944，失去银子：27876,来源代号技能学习，储备余额53648068
2021-06-21 余额53648068，失去银子：30140,来源代号技能学习，储备余额53617928
2021-06-21 余额53617928，失去银子：32540,来源代号技能学习，储备余额53585388
2021-06-21 余额53585388，失去银子：35080,来源代号技能学习，储备余额53550308
2021-06-21 余额53550308，失去银子：37764,来源代号技能学习，储备余额53512544
2021-06-21 余额53512544，失去银子：40598,来源代号技能学习，储备余额53471946
2021-06-21 余额53471946，失去银子：43590,来源代号技能学习，储备余额53428356
2021-06-21 余额53428356，失去银子：46742,来源代号技能学习，储备余额53381614
2021-06-21 余额53381614，失去银子：50062,来源代号技能学习，储备余额53331552
2021-06-21 余额53331552，失去银子：53554,来源代号技能学习，储备余额53277998
2021-06-21 余额53277998，失去银子：57226,来源代号技能学习，储备余额53220772
2021-06-21 余额53220772，失去银子：61082,来源代号技能学习，储备余额53159690
2021-06-21 余额53159690，失去银子：65130,来源代号技能学习，储备余额53094560
2021-06-21 余额53094560，失去银子：69374,来源代号技能学习，储备余额53025186
2021-06-21 余额53025186，失去银子：73822,来源代号技能学习，储备余额52951364
2021-06-21 余额52951364，失去银子：78480,来源代号技能学习，储备余额52872884
2021-06-21 余额52872884，失去银子：83352,来源代号技能学习，储备余额52789532
2021-06-21 余额52789532，失去银子：88448,来源代号技能学习，储备余额52701084
2021-06-21 余额52701084，失去银子：93772,来源代号技能学习，储备余额52607312
2021-06-21 余额52607312，失去银子：99332,来源代号技能学习，储备余额52507980
2021-06-21 余额52507980，失去银子：105136,来源代号技能学习，储备余额52402844
2021-06-21 余额52402844，失去银子：111190,来源代号技能学习，储备余额52291654
2021-06-21 余额52291654，失去银子：117498,来源代号技能学习，储备余额52174156
2021-06-21 余额52174156，失去银子：124072,来源代号技能学习，储备余额52050084
2021-06-21 余额52050084，失去银子：130916,来源代号技能学习，储备余额51919168
2021-06-21 余额51919168，失去银子：138038,来源代号技能学习，储备余额51781130
2021-06-21 余额51781130，失去银子：145446,来源代号技能学习，储备余额51635684
2021-06-21 余额51635684，失去银子：153148,来源代号技能学习，储备余额51482536
2021-06-21 余额51482536，失去银子：161150,来源代号技能学习，储备余额51321386
2021-06-21 余额51321386，失去银子：169460,来源代号技能学习，储备余额51151926
2021-06-21 余额51151926，失去银子：178086,来源代号技能学习，储备余额50973840
2021-06-21 余额50973840，失去银子：187032,来源代号技能学习，储备余额50786808
2021-06-21 余额50786808，失去银子：196320,来源代号技能学习，储备余额50590488
2021-06-21 余额50590488，失去银子：205942,来源代号技能学习，储备余额50384546
2021-06-21 余额50384546，失去银子：215912,来源代号技能学习，储备余额50168634
2021-06-21 余额50168634，失去银子：24,来源代号技能学习，储备余额50168610
2021-06-21 余额50168610，失去银子：38,来源代号技能学习，储备余额50168572
2021-06-21 余额50168572，失去银子：56,来源代号技能学习，储备余额50168516
2021-06-21 余额50168516，失去银子：76,来源代号技能学习，储备余额50168440
2021-06-21 余额50168440，失去银子：102,来源代号技能学习，储备余额50168338
2021-06-21 余额50168338，失去银子：134,来源代号技能学习，储备余额50168204
2021-06-21 余额50168204，失去银子：172,来源代号技能学习，储备余额50168032
2021-06-21 余额50168032，失去银子：220,来源代号技能学习，储备余额50167812
2021-06-21 余额50167812，失去银子：278,来源代号技能学习，储备余额50167534
2021-06-21 余额50167534，失去银子：348,来源代号技能学习，储备余额50167186
2021-06-21 余额50167186，失去银子：432,来源代号技能学习，储备余额50166754
2021-06-21 余额50166754，失去银子：532,来源代号技能学习，储备余额50166222
2021-06-21 余额50166222，失去银子：650,来源代号技能学习，储备余额50165572
2021-06-21 余额50165572，失去银子：786,来源代号技能学习，储备余额50164786
2021-06-21 余额50164786，失去银子：944,来源代号技能学习，储备余额50163842
2021-06-21 余额50163842，失去银子：1126,来源代号技能学习，储备余额50162716
2021-06-21 余额50162716，失去银子：1334,来源代号技能学习，储备余额50161382
2021-06-21 余额50161382，失去银子：1572,来源代号技能学习，储备余额50159810
2021-06-21 余额50159810，失去银子：1838,来源代号技能学习，储备余额50157972
2021-06-21 余额50157972，失去银子：2140,来源代号技能学习，储备余额50155832
2021-06-21 余额50155832，失去银子：2476,来源代号技能学习，储备余额50153356
2021-06-21 余额50153356，失去银子：2852,来源代号技能学习，储备余额50150504
2021-06-21 余额50150504，失去银子：3272,来源代号技能学习，储备余额50147232
2021-06-21 余额50147232，失去银子：3736,来源代号技能学习，储备余额50143496
2021-06-21 余额50143496，失去银子：4248,来源代号技能学习，储备余额50139248
2021-06-21 余额50139248，失去银子：4808,来源代号技能学习，储备余额50134440
2021-06-21 余额50134440，失去银子：5428,来源代号技能学习，储备余额50129012
2021-06-21 余额50129012，失去银子：6100,来源代号技能学习，储备余额50122912
2021-06-21 余额50122912，失去银子：6840,来源代号技能学习，储备余额50116072
2021-06-21 余额50116072，失去银子：7640,来源代号技能学习，储备余额50108432
2021-06-21 余额50108432，失去银子：8510,来源代号技能学习，储备余额50099922
2021-06-21 余额50099922，失去银子：9450,来源代号技能学习，储备余额50090472
2021-06-21 余额50090472，失去银子：10468,来源代号技能学习，储备余额50080004
2021-06-21 余额50080004，失去银子：11566,来源代号技能学习，储备余额50068438
2021-06-21 余额50068438，失去银子：12748,来源代号技能学习，储备余额50055690
2021-06-21 余额50055690，失去银子：14018,来源代号技能学习，储备余额50041672
2021-06-21 余额50041672，失去银子：15360,来源代号技能学习，储备余额50026312
2021-06-21 余额50026312，失去银子：16838,来源代号技能学习，储备余额50009474
2021-06-21 余额50009474，失去银子：18398,来源代号技能学习，储备余额49991076
2021-06-21 余额49991076，失去银子：20064,来源代号技能学习，储备余额49971012
2021-06-21 余额49971012，失去银子：21840,来源代号技能学习，储备余额49949172
2021-06-21 余额49949172，失去银子：23730,来源代号技能学习，储备余额49925442
2021-06-21 余额49925442，失去银子：25742,来源代号技能学习，储备余额49899700
2021-06-21 余额49899700，失去银子：27876,来源代号技能学习，储备余额49871824
2021-06-21 余额49871824，失去银子：30140,来源代号技能学习，储备余额49841684
2021-06-21 余额49841684，失去银子：32540,来源代号技能学习，储备余额49809144
2021-06-21 余额49809144，失去银子：35080,来源代号技能学习，储备余额49774064
2021-06-21 余额49774064，失去银子：37764,来源代号技能学习，储备余额49736300
2021-06-21 余额49736300，失去银子：40598,来源代号技能学习，储备余额49695702
2021-06-21 余额49695702，失去银子：43590,来源代号技能学习，储备余额49652112
2021-06-21 余额49652112，失去银子：46742,来源代号技能学习，储备余额49605370
2021-06-21 余额49605370，失去银子：50062,来源代号技能学习，储备余额49555308
2021-06-21 余额49555308，失去银子：53554,来源代号技能学习，储备余额49501754
2021-06-21 余额49501754，失去银子：57226,来源代号技能学习，储备余额49444528
2021-06-21 余额49444528，失去银子：61082,来源代号技能学习，储备余额49383446
2021-06-21 余额49383446，失去银子：65130,来源代号技能学习，储备余额49318316
2021-06-21 余额49318316，失去银子：69374,来源代号技能学习，储备余额49248942
2021-06-21 余额49248942，失去银子：73822,来源代号技能学习，储备余额49175120
2021-06-21 余额49175120，失去银子：78480,来源代号技能学习，储备余额49096640
2021-06-21 余额49096640，失去银子：83352,来源代号技能学习，储备余额49013288
2021-06-21 余额49013288，失去银子：88448,来源代号技能学习，储备余额48924840
2021-06-21 余额48924840，失去银子：93772,来源代号技能学习，储备余额48831068
