日志创建
2021-06-21 装备礼包:2
2021-06-21 装备礼包:3
2021-06-21 装备礼包:4
2021-06-21 装备礼包:5
2021-06-21 装备礼包:6
2021-06-21 装备礼包:7
2021-06-21 获得经验：12000000,来源代号新手礼包
2021-06-21 余额5006920，获得储备：2000000,来源代号新手礼包，储备余额7006920
2021-06-21 获得经验：15000000,来源代号新手礼包
2021-06-21 余额7006920，获得储备：2500000,来源代号新手礼包，储备余额9506920
2021-06-21 余额9506920，失去银子：46742,来源代号技能学习，储备余额9460178
2021-06-21 余额9460178，失去银子：50062,来源代号技能学习，储备余额9410116
2021-06-21 余额9410116，失去银子：53554,来源代号技能学习，储备余额9356562
2021-06-21 余额9356562，失去银子：57226,来源代号技能学习，储备余额9299336
2021-06-21 余额9299336，失去银子：61082,来源代号技能学习，储备余额9238254
2021-06-21 余额9238254，失去银子：65130,来源代号技能学习，储备余额9173124
2021-06-21 余额9173124，失去银子：69374,来源代号技能学习，储备余额9103750
2021-06-21 余额9103750，失去银子：73822,来源代号技能学习，储备余额9029928
2021-06-21 余额9029928，失去银子：78480,来源代号技能学习，储备余额8951448
2021-06-21 余额8951448，失去银子：83352,来源代号技能学习，储备余额8868096
2021-06-21 余额8868096，失去银子：88448,来源代号技能学习，储备余额8779648
2021-06-21 余额8779648，失去银子：93772,来源代号技能学习，储备余额8685876
2021-06-21 余额8685876，失去银子：46742,来源代号技能学习，储备余额8639134
2021-06-21 余额8639134，失去银子：50062,来源代号技能学习，储备余额8589072
2021-06-21 余额8589072，失去银子：53554,来源代号技能学习，储备余额8535518
2021-06-21 余额8535518，失去银子：57226,来源代号技能学习，储备余额8478292
2021-06-21 余额8478292，失去银子：61082,来源代号技能学习，储备余额8417210
2021-06-21 余额8417210，失去银子：65130,来源代号技能学习，储备余额8352080
2021-06-21 余额8352080，失去银子：69374,来源代号技能学习，储备余额8282706
2021-06-21 余额8282706，失去银子：73822,来源代号技能学习，储备余额8208884
2021-06-21 余额8208884，失去银子：78480,来源代号技能学习，储备余额8130404
2021-06-21 余额8130404，失去银子：83352,来源代号技能学习，储备余额8047052
